dname,edensity,ewt,oarea,regdate,sdensity,srcode,swt
Noctiluca sp.,3000,20.2,울산 울주 온산항 신항 남방파제,20190517,0,20190520-001,20.2
Akashiwo sanguinea,1000,15.5,경남 통영시 영운리,20181204,800,20181204-001,15.5
Mesodinium rubrum,480,20.2,경남 거제시,20181019,260,20181024-002,20.2
Mesodinium rubrum,3500,0,전남 완도군,20180928,2000,20181001-001,0
Mesodinium rubrum,4000,23.5,전남 장흥군,20180922,1000,20180927-001,22.7
Noctiluca sp.,1532,22.8,전남 신안군 흑산면,20180920,1500,20180921-007,21.8
Gymnodinium sp.,300,0,전남 완도군 소안면,20180917,300,20180921-006,0
Mesodinium rubrum,1200,21.2,전남 완도군 청산도 동측,20180920,900,20180921-002,21.2
Mesodinium rubrum,700,23.3,전남 완도군 망석리,20180918,600,20180921-001,23.3
Noctiluca sp.,8000,0,전남 완도군 금일읍 장도,20180915,5000,20180920-002,0
Gymnodinium catenatum,870,23,전남 여수시 삼산면 거문도 ,20180920,870,20180920-001,23
Noctiluca sp.,0,0,경북 울진군 후포항,20180919,0,20180919-002,0
없음,28,없음,20180819,20180819-001,27.1,,
없음,28.8,없음,20180818,20180818-001,26.1,,
없음,30.3,없음,20180817,20180817-001,26.2,,
없음,31.4,없음,20180816,20180816-001,26.4,,
없음,31.6,없음,20180815,20180815-001,26.6,,
없음,29.9,없음,20180814,20180814-005,27.6,,
없음,28.7,없음,20180813,20180813-001,27.9,,
없음,28.7,없음,20180812,20180812-001,27.9,,
없음,29.4,없음,20180811,20180811-001,25,,
없음,29.6,없음,20180810,20180810-001,26.7,,
Cochlodinium polykrikoides,930,39.8,"전남 여수시 돌산동안, 월호~화태",20180809,90,20180809-001,28.6
Cochlodinium polykrikoides,500,29.3,"전남 여수시 돌산동안, 월호~화태~함구미해역",20180808,400,20180808-001,27.5
Cochlodinium polykrikoides,960,29.3,"전남 여수시 돌산동안, 월호~화태~함구미해역",20180808,10,20180808-001,27.5
Cochlodinium polykrikoides,500,30.1,경남 고성군 하이면,20180808,400,20180808-001,30.1
Cochlodinium polykrikoides,960,30.1,경남 고성군 하이면,20180808,10,20180808-001,30.1
Cochlodinium polykrikoides,930,29.4,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",20180807,760,20180807-001,27.3
Cochlodinium polykrikoides,350,29.4,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",20180807,10,20180807-001,27.3
Cochlodinium polykrikoides,800,29.4,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",20180807,700,20180807-001,27.3
Cochlodinium polykrikoides,600,29.4,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",20180807,120,20180807-001,27.3
Cochlodinium polykrikoides,950,29.4,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",20180807,5,20180807-001,27.3
Cochlodinium polykrikoides,930,29.9,경남 남해군 창선∼하동 해역함구미해역,20180807,760,20180807-001,27
Cochlodinium polykrikoides,350,29.9,경남 남해군 창선∼하동 해역함구미해역,20180807,10,20180807-001,27
Cochlodinium polykrikoides,800,29.9,경남 남해군 창선∼하동 해역함구미해역,20180807,700,20180807-001,27
Cochlodinium polykrikoides,600,29.9,경남 남해군 창선∼하동 해역함구미해역,20180807,120,20180807-001,27
Cochlodinium polykrikoides,950,29.9,경남 남해군 창선∼하동 해역함구미해역,20180807,5,20180807-001,27
Cochlodinium polykrikoides,930,29.8,경남 고성군 하이면,20180807,760,20180807-001,29.8
Cochlodinium polykrikoides,350,29.8,경남 고성군 하이면,20180807,10,20180807-001,29.8
Cochlodinium polykrikoides,800,29.8,경남 고성군 하이면,20180807,700,20180807-001,29.8
Cochlodinium polykrikoides,600,29.8,경남 고성군 하이면,20180807,120,20180807-001,29.8
Cochlodinium polykrikoides,950,29.8,경남 고성군 하이면,20180807,5,20180807-001,29.8
Cochlodinium polykrikoides,930,29.8,경남 통영시 산양∼사량,20180807,760,20180807-001,23.9
Cochlodinium polykrikoides,350,29.8,경남 통영시 산양∼사량,20180807,10,20180807-001,23.9
Cochlodinium polykrikoides,800,29.8,경남 통영시 산양∼사량,20180807,700,20180807-001,23.9
Cochlodinium polykrikoides,600,29.8,경남 통영시 산양∼사량,20180807,120,20180807-001,23.9
Cochlodinium polykrikoides,950,29.8,경남 통영시 산양∼사량,20180807,5,20180807-001,23.9
Cochlodinium polykrikoides,930,27.4,경남 거제시 동부면 율포,20180807,760,20180807-001,27.4
Cochlodinium polykrikoides,350,27.4,경남 거제시 동부면 율포,20180807,10,20180807-001,27.4
Cochlodinium polykrikoides,800,27.4,경남 거제시 동부면 율포,20180807,700,20180807-001,27.4
Cochlodinium polykrikoides,600,27.4,경남 거제시 동부면 율포,20180807,120,20180807-001,27.4
Cochlodinium polykrikoides,950,27.4,경남 거제시 동부면 율포,20180807,5,20180807-001,27.4
Cochlodinium polykrikoides,350,30,경남 사천시∼하동군 해역,20180806,30,20180806-002,27.1
Cochlodinium polykrikoides,200,30,경남 사천시∼하동군 해역,20180806,20,20180806-002,27.1
Cochlodinium polykrikoides,350,29.5,"경남 통영시 산양 궁항, 명지",20180806,30,20180806-002,24.7
Cochlodinium polykrikoides,200,29.5,"경남 통영시 산양 궁항, 명지",20180806,20,20180806-002,24.7
Cochlodinium polykrikoides,500,28,전남 여수시 남면,20180805,30,20180805-001,26.9
Cochlodinium polykrikoides,600,28,전남 여수시 남면,20180805,80,20180805-001,26.9
Cochlodinium polykrikoides,70,28,전남 여수시 남면,20180805,10,20180805-001,26.9
Cochlodinium polykrikoides,500,29,경남 사천시 해역,20180805,30,20180805-001,24.7
Cochlodinium polykrikoides,600,29,경남 사천시 해역,20180805,80,20180805-001,24.7
Cochlodinium polykrikoides,70,29,경남 사천시 해역,20180805,10,20180805-001,24.7
Cochlodinium polykrikoides,500,27.5,경남 고성군~통영시 해역,20180805,30,20180805-001,26.4
Cochlodinium polykrikoides,600,27.5,경남 고성군~통영시 해역,20180805,80,20180805-001,26.4
Cochlodinium polykrikoides,70,27.5,경남 고성군~통영시 해역,20180805,10,20180805-001,26.4
Cochlodinium polykrikoides,700,28.5,전남 여수시 남면,20180804,45,20180804-001,26.5
Cochlodinium polykrikoides,930,28.5,전남 여수시 남면,20180804,80,20180804-001,26.5
Cochlodinium polykrikoides,120,28.5,전남 여수시 남면,20180804,10,20180804-001,26.5
Cochlodinium polykrikoides,700,29,경남 남해군~하동군~사천 해역,20180804,45,20180804-001,24.7
Cochlodinium polykrikoides,930,29,경남 남해군~하동군~사천 해역,20180804,80,20180804-001,24.7
Cochlodinium polykrikoides,120,29,경남 남해군~하동군~사천 해역,20180804,10,20180804-001,24.7
Cochlodinium polykrikoides,700,29.6,경남 고성군~통영시 해역,20180804,45,20180804-001,27.6
Cochlodinium polykrikoides,930,29.6,경남 고성군~통영시 해역,20180804,80,20180804-001,27.6
Cochlodinium polykrikoides,120,29.6,경남 고성군~통영시 해역,20180804,10,20180804-001,27.6
Cochlodinium polykrikoides,1000,26.7,전남 여수시 화정면~남면~돌산읍 해역,20180803,40,20180803-002,25.8
Cochlodinium polykrikoides,1400,26.7,전남 여수시 화정면~남면~돌산읍 해역,20180803,40,20180803-002,25.8
Cochlodinium polykrikoides,760,26.7,전남 여수시 화정면~남면~돌산읍 해역,20180803,20,20180803-002,25.8
Cochlodinium polykrikoides,1000,28.2,경남 남해군~하동군~사천 해역,20180803,40,20180803-002,23.7
Cochlodinium polykrikoides,1400,28.2,경남 남해군~하동군~사천 해역,20180803,40,20180803-002,23.7
Cochlodinium polykrikoides,760,28.2,경남 남해군~하동군~사천 해역,20180803,20,20180803-002,23.7
Cochlodinium polykrikoides,1000,29,경남 고성군~통영시 해역,20180803,40,20180803-002,26.8
Cochlodinium polykrikoides,1400,29,경남 고성군~통영시 해역,20180803,40,20180803-002,26.8
Cochlodinium polykrikoides,760,29,경남 고성군~통영시 해역,20180803,20,20180803-002,26.8
Cochlodinium polykrikoides,560,28.6,전남 여수시 화정면~남면~돌산읍 해역,20180802,480,20180802-001,25.2
Cochlodinium polykrikoides,1200,28.6,전남 여수시 화정면~남면~돌산읍 해역,20180802,50,20180802-001,25.2
Cochlodinium polykrikoides,1800,28.6,전남 여수시 화정면~남면~돌산읍 해역,20180802,320,20180802-001,25.2
Cochlodinium polykrikoides,1680,28.6,전남 여수시 화정면~남면~돌산읍 해역,20180802,20,20180802-001,25.2
Cochlodinium polykrikoides,560,29.1,경남 남해군~하동군 해역,20180802,480,20180802-001,25.1
Cochlodinium polykrikoides,1200,29.1,경남 남해군~하동군 해역,20180802,50,20180802-001,25.1
Cochlodinium polykrikoides,1800,29.1,경남 남해군~하동군 해역,20180802,320,20180802-001,25.1
Cochlodinium polykrikoides,1680,29.1,경남 남해군~하동군 해역,20180802,20,20180802-001,25.1
Cochlodinium polykrikoides,560,29.9,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",20180802,480,20180802-001,26
Cochlodinium polykrikoides,1200,29.9,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",20180802,50,20180802-001,26
Cochlodinium polykrikoides,1800,29.9,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",20180802,320,20180802-001,26
Cochlodinium polykrikoides,1680,29.9,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",20180802,20,20180802-001,26
Cochlodinium polykrikoides,560,27.5,경남 거제시 동부면,20180802,480,20180802-001,25.3
Cochlodinium polykrikoides,1200,27.5,경남 거제시 동부면,20180802,50,20180802-001,25.3
Cochlodinium polykrikoides,1800,27.5,경남 거제시 동부면,20180802,320,20180802-001,25.3
Cochlodinium polykrikoides,1680,27.5,경남 거제시 동부면,20180802,20,20180802-001,25.3
Cochlodinium polykrikoides,700,27.2,전남 고흥군 동일면 상부,20180801,120,20180801-001,27.2
